Accession	Version	Description	Plasmid	Organism	Species	Genus	Family	Order	Class	Phylum	Domain	Collection_date	Geo_location	Isolation_source	Note	Length	GC_content	Replicon_type	MOB_type	Clique	Replicon_candidate
NC_001994	NC_001994.1	Staphylococcus aureus plasmid pSK3, complete sequence	pSK3	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	1658	0.340169	rep10b	NA	NA	NA
NC_001995	NC_001995.1	Staphylococcus aureus plasmid pSK6, complete sequence	pSK6	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	1551	0.335268	rep10b	NA	NA	NA
NC_002002	NC_002002.1	Fusobacterium nucleatum plasmid pPA52, complete sequence	pPA52	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	NA	NA	NA	NA	6281	0.231014	NA	NA	31	NA
NC_002013	NC_002013.1	Staphylococcus aureus plasmid pC194, complete sequence	pC194	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	2910	0.293814	rep13	NA	32	NA
NC_002033	NC_002033.1	Novosphingobium aromaticivorans plasmid pNL1, complete sequence	pNL1	Novosphingobium aromaticivorans	Novosphingobium aromaticivorans	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	184457	0.622492	NA	NA	NA	NA
NC_002056	NC_002056.1	Salmonella enterica subsp. enterica serovar Typhimurium plasmid pSC101, complete sequence	pSC101	Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	IncQ type mobilizable plasmid	9263	0.511713	ColE10	MOBQ	NA	NA
NC_002060	NC_002060.1	Microcystis aeruginosa small plasmid pMA1 DNA, complete sequence (encoding replication protein, complete cds)	small Plasmid pMA1	Microcystis aeruginosa	Microcystis aeruginosa	Microcystis	Microcystaceae	Chroococcales	NA	Cyanobacteria	Bacteria	NA	NA	NA	NA	2287	0.411456	NA	NA	NA	NA
NC_002061	NC_002061.1	Leptolyngbya foveolarum plasmid pPF1, complete sequence	Plasmid pPF1	Leptolyngbya foveolarum	Leptolyngbya foveolarum	Leptolyngbya	Leptolyngbyaceae	Synechococcales	NA	Cyanobacteria	Bacteria	NA	NA	NA	NA	1509	0.47051	NA	NA	NA	NA
NC_002062	NC_002062.1	Geobacillus stearothermophilus plasmid pSTK1 DNA, complete sequence	pSTK1	Geobacillus stearothermophilus	Geobacillus stearothermophilus	Geobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	rolling-circle type replication; synonym: Bacillus stearothermophilus	1883	0.440786	NA	NA	NA	NA
NC_002070	NC_002070.1	Tatumella citrea plasmid pPZG500, complete sequence	pPZG500	Tatumella citrea	Tatumella citrea	Tatumella	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	3661	0.328326	NA	NA	33	NA
NC_002088	NC_002088.1	Vibrio parahaemolyticus plasmid pSA19 DNA, complete sequence	pSA19	Vibrio parahaemolyticus	Vibrio parahaemolyticus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	4839	0.403182	NA	NA	NA	NA
NC_002090	NC_002090.1	Salmonella enterica subsp. enterica serovar Typhimurium plasmid NTP16, complete sequence	NTP16	Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	8255	0.46493	NA	NA	34	NA
NC_002091	NC_002091.1	Bacillus thuringiensis sv israelensis plasmid pTX14-1, complete sequence	pTX14-1	Bacillus thuringiensis serovar israelensis	Bacillus thuringiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	5415	0.36325	NA	MOBV	NA	NA
NC_002092	NC_002092.1	Xylella fastidiosa plasmid pXF868, complete sequence	pXF868	Xylella fastidiosa	Xylella fastidiosa	Xylella	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	1296	0.548611	NA	NA	NA	NA
NC_002093	NC_002093.1	Staphylococcus lugdunensis strain 995 cadmium resistance plasmid pLUG10, complete sequence	pLUG10	Staphylococcus lugdunensis	Staphylococcus lugdunensis	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	3117	0.296439	NA	NA	NA	NA
NC_002094	NC_002094.1	Marinococcus halophilus plasmid pPL1, complete sequence	pPL1	Marinococcus halophilus	Marinococcus halophilus	Marinococcus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	3874	0.389262	NA	MOBV	NA	NA
NC_002096	NC_002096.1	Staphylococcus aureus plasmid pKH7, complete sequence	pKH7	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	4118	0.288004	rep7	MOBV	NA	NA
NC_002098	NC_002098.1	Neisseria gonorrhoeae plasmid pJD4, complete sequence	pJD4	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	7426	0.383383	NA	MOBQ	36	NA
NC_002099	NC_002099.1	Corynebacterium glutamicum plasmid pXZ10142, complete sequence	pXZ10142	Corynebacterium glutamicum	Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	2444	0.570376	NA	NA	NA	NA
NC_002100	NC_002100.1	Phytoplasma sp. plasmid phytoplasma specific extrachromosomal DNA, complete sequence	phytoplasma specific extrachromosomal DNA	Candidatus Phytoplasma sp.	Candidatus Phytoplasma sp.	Candidatus Phytoplasma	Acholeplasmataceae	Acholeplasmatales	Mollicutes	Tenericutes	Bacteria	NA	NA	NA	NA	2645	0.221928	NA	NA	NA	NA
NC_002102	NC_002102.1	Lactobacillus helveticus DSM 20075 plasmid pLH1, complete sequence	pLH1	Lactobacillus helveticus DSM 20075 = CGMCC 1.1877	Lactobacillus helveticus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	19360	0.365754	NA	NA	NA	NA
NC_002108	NC_002108.1	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB2062, complete sequence	pBMB2062	Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacillus thuringiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	2062	0.348206	NA	NA	37	NC_017197_position:25-870
NC_002109	NC_002109.1	Francisella tularensis plasmid pOM1, complete sequence	pOM1	Francisella tularensis	Francisella tularensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	4442	0.406348	NA	NA	38	NA
NC_002110	NC_002110.1	Helicobacter pylori plasmid pHPO100, complete sequence	pHPO100	Helicobacter pylori	Helicobacter pylori	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	3520	0.361932	NA	NA	NA	NA
NC_002111	NC_002111.1	Riemerella anatipestifer 10 plasmid pCFC1, complete sequence	pCFC1	Riemerella anatipestifer	Riemerella anatipestifer	Riemerella	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	NA	NA	NA	NA	3966	0.271558	NA	NA	NA	NA
NC_002112	NC_002112.1	Streptomyces cyaneus plasmid pSA1.1, complete sequence	pSA1.1	Streptomyces cyaneus	Streptomyces cyaneus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	9014	0.687264	NA	NA	NA	NA
NC_002113	NC_002113.1	Nitrosomonas sp. plasmid pAYS DNA, complete sequence, strain:ENI-11	pAYS	Nitrosomonas sp.	Nitrosomonas sp.	Nitrosomonas	Nitrosomonadaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	1823	0.500274	NA	NA	NA	NA
NC_002114	NC_002114.1	Nitrosomonas sp. ENI-11 plasmid pAYL DNA, complete sequence	pAYL	Nitrosomonas sp.	Nitrosomonas sp.	Nitrosomonas	Nitrosomonadaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	1910	0.473298	NA	NA	NA	NA
NC_002115	NC_002115.1	Corynebacterium glutamicum plasmid unknown, complete sequence	unknown	Corynebacterium glutamicum	Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	Bacillus lactofermentum ATCC 13869 native 4.45 kb plasmid; similar to pBl1	4457	0.533767	NA	NA	10	NA
NC_002117	NC_002117.1	Chlamydia psittaci plasmid pCpA1, complete sequence	pCpA1	Chlamydia psittaci	Chlamydia psittaci	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria	NA	NA	NA	NA	7553	0.329406	NA	NA	39	NA
NC_002118	NC_002118.1	Coxiella burnetii plasmid QpH1, complete sequence	QpH1	Coxiella burnetii	Coxiella burnetii	Coxiella	Coxiellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	37329	0.393233	NA	NA	40	NA
NC_002119	NC_002119.1	Escherichia coli K-12 P678-54 plasmid CloDF13, complete sequence	CloDF13	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	9957	0.544039	ColRNAI	MOBC	NA	NA
NC_002120	NC_002120.1	Yersinia enterocolitica W22703 plasmid pYVe227, complete sequence	pYVe227	Yersinia enterocolitica W22703	Yersinia enterocolitica	Yersinia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	69673	0.442079	IncFII(Y)	NA	41	NA
NC_002122	NC_002122.1	Shigella sonnei plasmid P9 DNA, complete sequence	P9	Shigella sonnei	Shigella sonnei	Shigella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	93399	0.502243	IncI1	MOBP	556	NA
NC_002123	NC_002123.1	Lactobacillus plantarum L137 plasmid pLTK2, complete sequence	pLTK2	Lactobacillus plantarum	Lactobacillus plantarum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	2295	0.385621	NA	NA	NA	NA
NC_002126	NC_002126.1	Pediococcus pentosaceus plasmid pMD136, complete sequence	pMD136	Pediococcus pentosaceus	Pediococcus pentosaceus	Pediococcus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	pediocin A producing strain	19533	0.341166	NA	NA	NA	NA
NC_002127	NC_002127.1	Escherichia coli O157:H7 str. Sakai plasmid pOSAK1, complete sequence	pOSAK1	Escherichia coli O157:H7 str. Sakai	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	RIMD 0509952 is a strain of enterohemorrhagic E. coli, EHEC O157:H7	3306	0.434059	NA	NA	34	NA
NC_002128	NC_002128.1	Escherichia coli O157:H7 str. Sakai plasmid pO157, complete sequence	pO157	Escherichia coli O157:H7 str. Sakai	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	RIMD 0509952 is a strain of enterohemorrhagic E. coli, EHEC O157:H7	92721	0.475998	IncFIB(AP001918)|IncFII	NA	42	NA
NC_002129	NC_002129.1	Staphylococcus aureus plasmid pC221, complete sequence	pC221	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	4557	0.316436	rep7	MOBP	43	NA
NC_002130	NC_002130.1	Riemerella anatipestifer plasmid pCFC2, complete sequence	pCFC2	Riemerella anatipestifer	Riemerella anatipestifer	Riemerella	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	NA	NA	NA	NA	5609	0.280442	NA	NA	NA	NA
NC_002131	NC_002131.1	Coxiella burnetii strain R1140 plasmid QpDV, complete sequence	QpDV	Coxiella burnetii	Coxiella burnetii	Coxiella	Coxiellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	32601	0.395264	NA	NA	40	NA
NC_002132	NC_002132.1	Flavobacterium sp. KP1 plasmid pFL1 DNA, complete sequence	plasmid pFL1	Flavobacterium sp. KP1	Flavobacterium sp. KP1	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	NA	NA	NA	NA	2311	0.326698	repUS6	MOBV	NA	NA
NC_002133	NC_002133.1	Bifidobacterium breve plasmid pCIBb1, complete sequence	pCIBb1	Bifidobacterium breve	Bifidobacterium breve	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	5750	0.569043	NA	NA	NA	NA
NC_002134	NC_002134.1	Shigella flexneri 2b plasmid R100 DNA, complete sequence	R100	Shigella flexneri 2b	Shigella flexneri	Shigella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	Plasmid R100 is also referred to as NR1 or R222	94281	0.519744	IncFII	MOBF	557	NA
NC_002136	NC_002136.1	Streptococcus agalactiae plasmid pGB3634, complete sequence	pGB3634	Streptococcus agalactiae	Streptococcus agalactiae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	5842	0.336015	rep1	NA	NA	NA
NC_002137	NC_002137.1	Lactococcus lactis cremoris NIZO B40 plasmid pNZ4000, complete sequence	pNZ4000	Lactococcus lactis subsp. cremoris	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	42810	0.333146	NA	NA	NA	NA
NC_002138	NC_002138.1	Lactococcus lactis UC509.9 plasmid pCIS3, complete sequence	pCIS3	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	6159	0.358662	NA	NA	520	NA
NC_002139	NC_002139.1	Selenomonas ruminantium plasmid pSR1, complete sequence	pSR1	Selenomonas ruminantium	Selenomonas ruminantium	Selenomonas	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria	NA	NA	NA	NA	4692	0.513001	NA	NA	NA	NA
NC_002140	NC_002140.1	Streptococcus suis plasmid pSSU1 DNA, complete sequence	pSSU1	Streptococcus suis	Streptococcus suis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	4975	0.368643	NA	MOBV	NA	NA
NC_002141	NC_002141.1	Leptolyngbya boryana plasmid pPBS1, complete sequence	pPBS1	Leptolyngbya boryana	Leptolyngbya boryana	Leptolyngbya	Leptolyngbyaceae	Synechococcales	NA	Cyanobacteria	Bacteria	NA	NA	NA	NA	1511	0.471211	NA	NA	NA	NA
NC_002142	NC_002142.1	Escherichia coli B171 plasmid pB171 DNA, complete sequence	pB171	Escherichia coli B171	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	68817	0.46025	IncFII(pCoo)|IncFIB(pB171)	NA	44	NA
NC_002143	NC_002143.1	Comamonas testosteroni PtL5 cryptic plasmid pPT1, complete sequence	pPT1	Comamonas testosteroni	Comamonas testosteroni	Comamonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	cryptic plasmid	15398	0.561956	NA	MOBQ	NA	NA
NC_002144	NC_002144.1	Yersinia pestis CH971662 plasmid pYC, complete sequence	pYC	Yersinia pestis	Yersinia pestis	Yersinia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	China: Ban Na, Menghai county	NA	cryptic plasmid	5919	0.40446	Col(YC)	NA	NA	NA
NC_002145	NC_002145.1	Escherichia coli KL4 plasmid pKL1, complete sequence	pKL1	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	clinical isolate	1549	0.508715	NA	NA	45	NA
NC_002146	NC_002146.1	Bacillus anthracis plasmid pXO2, complete sequence	pXO2	Bacillus anthracis	Bacillus anthracis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	96231	0.330787	rep3	NA	46	NA
NC_002147	NC_002147.1	Agrobacterium tumefaciens MAFF301001 plasmid pTi-SAKURA, complete sequence	pTi-SAKURA	Agrobacterium tumefaciens	Agrobacterium tumefaciens	Agrobacterium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	collection_site: Japan (from cherry tree)	206479	0.560018	NA	MOBQ	NA	NA
NC_002148	NC_002148.1	Erysipelothrix rhusiopathiae plasmid pAP1, complete sequence	pAP1	Erysipelothrix rhusiopathiae	Erysipelothrix rhusiopathiae	Erysipelothrix	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	NA	NA	NA	NA	1987	0.314545	NA	NA	NA	NA
NC_002150	NC_002150.1	Lactococcus lactis plasmid pAH33, complete sequence	pAH33	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	6159	0.3585	NA	NA	520	NA
NC_002182	NC_002182.1	Chlamydia muridarum Nigg plasmid pMoPn, complete sequence	pMoPn	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria	NA	NA	NA	NA	7501	0.357152	NA	NA	NA	NA
NC_002192	NC_002192.1	Lactococcus lactis plasmid pWV01, complete sequence	pWV01	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	2178	0.334252	NA	NA	47	NC_002192_position:813-1511
NC_002193	NC_002193.1	Lactococcus lactis cremoris Cremoris Wg2 plasmid pWVO2, complete sequence	pWVO2	Lactococcus lactis subsp. cremoris	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	3826	0.313382	NA	NA	NA	NA
NC_002252	NC_002252.1	Buchnera aphidicola str. APS (Acyrthosiphon pisum) plasmid pTrp, complete sequence	pTrp	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Buchnera aphidicola	Buchnera	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	primary endosymbiont of Acyrthosiphon pisum; trpEG plasmid	7258	0.306145	NA	NA	NA	NA
NC_002253	NC_002253.1	Buchnera aphidicola str. APS (Acyrthosiphon pisum) plasmid pLeu, complete sequence	pLeu	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Buchnera aphidicola	Buchnera	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	leucine plasmid; primary endosymbiont of Acyrthosiphon pisum	7786	0.267146	NA	NA	NA	NA
NC_002305	NC_002305.1	Salmonella typhi plasmid R27, complete sequence	R27	Salmonella enterica subsp. enterica serovar Typhi	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	antibiotic resistance plasmid	180461	0.457766	IncFIA(HI1)|IncHI1B(R27)|IncHI1A	MOBH	48	NA
NC_002377	NC_002377.1	Agrobacterium tumefaciens plasmid Ti, complete sequence	Ti	Agrobacterium tumefaciens	Agrobacterium tumefaciens	Agrobacterium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	octopine-type	194140	0.546235	NA	MOBQ	49	NC_002377_position:30831-34133
NC_002473	NC_002473.1	Vibrio parahaemolyticus plasmid pO3K6 DNA, complete sequence	pO3K6	Vibrio parahaemolyticus	Vibrio parahaemolyticus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	replicative form of filamentous phage f237	8784	0.451503	NA	NA	NA	NA
NC_002483	NC_002483.1	Escherichia coli K-12 plasmid F DNA, complete sequence	F	Escherichia coli K-12	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	99159	0.481681	IncFIC(FII)|IncFIA|IncFIB(AP001918)	MOBF	50	NA
NC_002487	NC_002487.1	Escherichia coli plasmid pCol-let, complete sequence	pCol-let	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	isolated from a Yanamamo Indian	5847	0.467248	NA	NA	NA	NA
NC_002489	NC_002489.3	Xylella fastidiosa 9a5c plasmid pXF1.3, complete sequence	pXF1.3	Xylella fastidiosa 9a5c	Xylella fastidiosa	Xylella	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	1286	0.55521	NA	NA	NA	NA
NC_002490	NC_002490.1	Xylella fastidiosa 9a5c plasmid pXF51, complete sequence	pXF51	Xylella fastidiosa 9a5c	Xylella fastidiosa	Xylella	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	51158	0.49568	NA	MOBV	51	NA
NC_002502	NC_002502.1	Lactococcus lactis lactis UC317 plasmid pCI305, complete sequence	pCI305	Lactococcus lactis subsp. lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	8694	0.324132	NA	NA	520	NA
NC_002517	NC_002517.1	Staphylococcus aureus plasmid p21, complete sequence	p21	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	obtained from a clinical isolate	20719	0.285969	rep16|rep5	MOBV	526	NA
NC_002518	NC_002518.1	Pseudomonas putida P8 plasmid pPP81, complete sequence	pPP81	Pseudomonas putida	Pseudomonas putida	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	Germany	NA	NA	2534	0.586425	NA	NA	NA	NA
NC_002522	NC_002522.1	Brevibacterium linens plasmid LIM, complete sequence	LIM	Brevibacterium linens	Brevibacterium linens	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	7610	0.588962	NA	NA	NA	NA
NC_002523	NC_002523.4	Serratia entomophila plasmid pADAP, complete sequence	pADAP	Serratia entomophila	Serratia entomophila	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	conjugative plasmid	153404	0.507021	pADAP	MOBP	NA	NA
NC_002524	NC_002524.1	Uncultured eubacterium pIE1115 plasmid pIE1115, complete sequence	pIE1115	uncultured eubacterium pIE1115	uncultured eubacterium pIE1115	NA	NA	NA	NA	NA	Bacteria	NA	Germany	NA	The IncQ-like plasmid was isolated by conjugation between unknown bacteria in piggery manure and an Escherichia coli K-12 recipient strain.	10687	0.562365	NA	MOBQ	52	NA
NC_002525	NC_002525.1	Escherichia coli K-12 plasmid R721, complete sequence	R721	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	75582	0.426345	IncI2	NA	53	NA
NC_002569	NC_002569.1	Mycoplasma leachii plasmid pBG7AU, complete sequence	pBG7AU	Mycoplasma leachii	Mycoplasma leachii	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	NA	NA	NA	NA	1022	0.307241	NA	NA	NA	NA
NC_002575	NC_002575.1	Agrobacterium rhizogenes plasmid pRi1724 DNA, complete sequence	pRi1724	Agrobacterium rhizogenes	Agrobacterium rhizogenes	Agrobacterium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	217594	0.573164	NA	MOBQ	NA	NA
